ids,CLSZ_0.9,CLID_0.9
ZINC000096095473,21,2
ZINC000195796858,21,2
ZINC000199630723,21,2
ZINC000195755499,21,2
ZINC000199630776,21,2
ZINC000195755504,21,2
ZINC000195755502,21,2
ZINC000199630742,21,2
ZINC000195445281,21,2
ZINC000195755496,21,2
ZINC000195755509,21,2
ZINC000195445287,21,2
ZINC000096014554,21,2
ZINC000096014534,21,2
ZINC000096095622,21,2
ZINC000096014531,21,2
ZINC000096014535,21,2
ZINC000096014555,21,2
ZINC000096014533,21,2
ZINC000169622497,21,2
ZINC000169622500,21,2
ZINC000008551494,8,13
ZINC000008551493,8,13
ZINC000008551747,8,13
ZINC000008219729,8,13
ZINC000008551748,8,13
ZINC000008219724,8,13
ZINC000008551586,8,13
ZINC000008551587,8,13
ZINC000199630277,8,52
ZINC000008551759,8,52
ZINC000096014541,8,52
ZINC000096068398,8,52
ZINC000096014542,8,52
ZINC000008551265,8,52
ZINC000008551264,8,52
ZINC000008551760,8,52
ZINC000008551209,7,82
ZINC000008216706,7,82
ZINC000008216701,7,82
ZINC000008216708,7,82
ZINC000008216374,7,82
ZINC000008216371,7,82
ZINC000008216703,7,82
ZINC000195810618,4,21
ZINC000096061868,4,21
ZINC000096014546,4,21
ZINC000096014545,4,21
ZINC000199629165,4,28
ZINC000199629848,4,28
ZINC000199629186,4,28
ZINC000199629870,4,28
ZINC000195883301,4,32
ZINC000199628079,4,32
ZINC000195883296,4,32
ZINC000199628092,4,32
ZINC000195756684,4,78
ZINC000195756679,4,78
ZINC000195756677,4,78
ZINC000195756681,4,78
ZINC000096014569,4,97
ZINC000096014567,4,97
ZINC000096014568,4,97
ZINC000096014570,4,97
ZINC000096014521,3,3
ZINC000008551112,3,3
ZINC000096014522,3,3
ZINC000008551095,3,12
ZINC000008551119,3,12
ZINC000008551120,3,12
ZINC000008551218,3,18
ZINC000230051742,3,18
ZINC000008551219,3,18
ZINC000196513291,3,48
ZINC000096085218,3,48
ZINC000197688160,3,48
ZINC000096014532,3,92
ZINC000169685622,3,92
ZINC000169622455,3,92
ZINC000096014556,2,1
ZINC000196105913,2,1
ZINC000230026395,2,4
ZINC000008551184,2,4
ZINC000230026446,2,8
ZINC000199605350,2,8
ZINC000230034935,2,10
ZINC000096068397,2,10
ZINC000008551116,2,14
ZINC000008215552,2,14
ZINC000008551568,2,16
ZINC000008551567,2,16
ZINC000008551257,2,19
ZINC000008551256,2,19
ZINC000195842012,2,22
ZINC000195842013,2,22
ZINC000199624920,2,25
ZINC000199624902,2,25
ZINC000199628840,2,26
ZINC000199628859,2,26
ZINC000199628966,2,27
ZINC000199628982,2,27
ZINC000195755542,2,31
ZINC000195755548,2,31
ZINC000196086499,2,33
ZINC000196086506,2,33
ZINC000199604898,2,36
ZINC000199604915,2,36
ZINC000199628899,2,39
ZINC000199628918,2,39
ZINC000199629077,2,40
ZINC000199629092,2,40
ZINC000195448510,2,43
ZINC000195448505,2,43
ZINC000197688097,2,49
ZINC000096085221,2,49
ZINC000008551904,2,70
ZINC000008551445,2,70
ZINC000008551764,2,84
ZINC000008551763,2,84
ZINC000096014540,2,94
ZINC000096014539,2,94
ZINC000096014518,2,99
ZINC000096014517,2,99
ZINC000096014538,2,102
ZINC000096014537,2,102
ZINC000096014548,2,104
ZINC000096014547,2,104
ZINC000096014559,2,105
ZINC000096014558,2,105
ZINC000008551513,2,133
ZINC000008551512,2,133
ZINC000008551530,2,134
ZINC000008551531,2,134
ZINC000230034347,1,5
ZINC000230034399,1,6
ZINC000230026341,1,7
ZINC000230034377,1,9
ZINC000008551261,1,11
ZINC000195882733,1,24
ZINC000197381912,1,35
ZINC000199625031,1,57
ZINC000008551087,1,67
ZINC000008551269,1,71
ZINC000008551192,1,72
ZINC000008551971,1,76
ZINC000008551196,1,77
ZINC000096014536,1,93
ZINC000096077635,1,107
ZINC000096077650,1,110
ZINC000096077667,1,111
ZINC000096095484,1,113
ZINC000096014519,1,114
